nodeIdOrg,nodeIdDest,distance,highway,oneway,bridge,width
0,1,35.934113,secondary,,,
1,2,25.754376,secondary,,,
2,3,32.354312,secondary,,,
3,4,25.363519,secondary,,,
4,5,22.582122,secondary,,,
5,6,33.181725,secondary,,,
6,7,91.935104,secondary,,,
7,8,8.609170,secondary,,,
9,0,46.377009,secondary,,,
10,11,3.088074,unclassified,yes,,
11,12,18.590169,unclassified,yes,,
12,13,19.802077,unclassified,yes,,
13,14,9.298467,unclassified,yes,,
14,15,32.547966,unclassified,yes,,
15,16,16.806347,unclassified,yes,,
16,17,10.091774,unclassified,yes,,
18,19,7.709188,tertiary,,,
19,20,2.455392,tertiary,,,
20,21,2.538694,tertiary,,,
21,22,2.151925,tertiary,,,
22,23,2.050359,tertiary,,,
23,24,13.557899,tertiary,,,
24,25,7.724293,tertiary,,,
25,26,3.813363,tertiary,,,
26,27,1.192324,tertiary,,,
28,29,16.559224,residential,yes,,
29,30,37.505482,residential,yes,,
30,31,22.213705,residential,yes,,
31,32,7.744039,residential,yes,,
32,33,3.717944,residential,yes,,
33,34,5.637841,residential,yes,,
34,35,18.346559,residential,yes,,
35,36,23.705250,residential,yes,,
36,37,13.146653,residential,yes,,
37,38,41.778331,residential,yes,,
38,39,23.159732,residential,yes,,
39,40,27.353539,residential,yes,,
40,41,14.398540,residential,yes,,
41,6,7.353096,residential,yes,,
4,42,39.175089,unclassified,,,
42,43,37.882919,unclassified,,,
43,44,23.501962,residential,,,
44,45,28.458125,residential,,,
45,46,105.257451,residential,,,
46,47,5.358530,residential,,,
47,48,5.747747,residential,,,
48,49,50.408422,residential,,,
49,50,37.075324,residential,,,
50,8,7.815990,residential,,,
49,51,68.139837,residential,,,
44,52,35.698320,residential,,,
53,54,24.861463,residential,yes,,
54,55,4.821995,residential,yes,,
55,56,5.267029,residential,yes,,
56,57,12.915796,residential,yes,,
57,58,54.394231,residential,yes,,
58,59,57.319413,residential,,,
59,60,39.816829,residential,,,
60,61,43.489252,residential,,,
62,63,51.500175,unclassified,,,
63,64,38.360736,unclassified,,,
64,65,36.910676,unclassified,,,
66,67,11.866225,unclassified,,,
67,68,31.917631,unclassified,,,
68,69,30.225546,unclassified,,,
8,70,4.878531,secondary,,,
70,71,18.500759,secondary,,,
71,72,18.748973,secondary,,,
72,73,5.351540,secondary,,,
73,74,39.410077,secondary,,,
74,75,13.290345,secondary,,,
75,76,47.985097,secondary,,,
76,77,35.076675,secondary,,,
67,78,74.684057,unclassified,,,
68,79,59.196261,unclassified,,,
80,81,12.752661,residential,,,
81,69,14.004388,residential,,,
69,82,17.901342,residential,,,
82,83,28.210731,residential,,,
