Orgin,Destination,Distance,Highway,Bridge,Width
408,409,5061.671106000001,"footway",,
409,408,5061.671106000001,"footway",,
385,390,76.297421,"footway",,
390,385,76.297421,"footway",,
389,387,111.42606,"footway",,
387,389,111.42606,"footway",,
386,385,218.842256,"footway","yes",
385,386,218.842256,"footway","yes",
370,371,3744.8836180000003,"footway",,
371,370,3744.8836180000003,"footway",,
371,370,2.566236,"footway",,
370,371,2.566236,"footway",,
369,364,225.149989,"footway",,
364,369,225.149989,"footway",,
360,359,91.162642,"residential",,
359,360,91.162642,"residential",,
354,353,47.97738,"residential",,
353,354,47.97738,"residential",,
352,346,834.941483,"footway",,
346,352,834.941483,"footway",,
345,279,3616.6702960000002,"footway",,
279,345,3616.6702960000002,"footway",,
283,5,180.955488,"residential",,
5,283,180.955488,"residential",,
328,332,6410.703858,"pedestrian",,
332,328,6410.703857999999,"pedestrian",,
290,283,161.762251,"pedestrian",,
283,290,161.762251,"pedestrian",,
279,278,0.456394,"footway","yes",
278,279,0.456394,"footway","yes",
280,277,27.702962,"steps","yes",
277,280,27.702962,"steps","yes",
276,332,694.838817,"residential",,
332,276,694.838817,"residential",,
274,281,1327.825942,"residential",,
281,274,1327.825942,"residential",,
272,282,926.4233020000001,"residential",,
282,272,926.423302,"residential",,
270,252,3373.4121200000004,"residential",,
252,270,3373.4121200000004,"residential",,
250,234,7616.571695999999,"tertiary",,
235,219,6713.820179,"tertiary",,
0,211,62.477744,"tertiary","yes",
211,0,62.477744,"tertiary","yes",
210,203,2667.123627,"footway",,
203,210,2667.123627,"footway",,
202,191,1836.550051,"footway",,
191,202,1836.550051,"footway",,
170,171,1345.907992,"footway",,
171,170,1345.907992,"footway",,
171,170,8.166936,"footway",,
170,171,8.166936,"footway",,
164,160,67.10863900000001,"footway",,
160,164,67.10863900000001,"footway",,
159,157,17.880646,"footway",,
157,159,17.880646,"footway",,
155,153,39.370004,"footway",,
153,155,39.370004,"footway",,
152,151,22.721029,"steps","yes",
151,152,22.721029,"steps","yes",
131,132,4270.260349,"footway",,
132,131,4270.260349,"footway",,
132,131,2.369794,"footway",,
131,132,2.369794,"footway",,
130,190,547.809638,"footway",,
190,130,547.809638,"footway",,
126,121,60.718244,"footway",,
121,126,60.718244,"footway",,
117,20,1621.8013720000001,"residential",,
20,117,1621.8013720000001,"residential",,
109,118,761.926062,"residential",,
118,109,761.926062,"residential",,
107,120,599.225246,"residential",,
120,107,599.225246,"residential",,
106,105,37.900367,"residential",,
105,106,37.900367,"residential",,
104,17,369.69306,"unclassified",,
17,104,369.69306,"unclassified",,
103,100,630.112114,"unclassified",,
100,103,630.112114,"unclassified",,
99,97,1308.424265,"tertiary",,
97,99,1308.424265,"tertiary",,
22,11,175.920793,"unclassified",,
11,22,175.920793,"unclassified",,
7,92,400.288862,"residential",,
92,7,400.288862,"residential",,
83,89,927.4000910000001,"residential",,
89,83,927.4000910000001,"residential",,
82,81,15.146788,"residential",,
81,82,15.146788,"residential",,
77,44,224.933064,"residential",,
44,77,224.933064,"residential",,
70,355,615.585,"residential",,
355,70,615.585,"residential",,
68,357,929.5173339999999,"residential",,
357,68,929.5173339999999,"residential",,
64,362,799.606457,"residential",,
362,64,799.6064570000001,"residential",,
62,356,339.74741,"residential",,
356,62,339.74741,"residential",,
60,74,299.553353,"residential",,
74,60,299.553353,"residential",,
58,363,817.7145909999999,"residential",,
363,58,817.7145909999999,"residential",,
57,72,1447.8218849999998,"residential",,
72,57,1447.8218849999998,"residential",,
56,358,623.320068,"residential",,
358,56,623.320068,"residential",,
55,75,623.6998960000001,"residential",,
75,55,623.6998960000001,"residential",,
54,91,2619.0702180000003,"residential",,
91,54,2619.0702180000003,"residential",,
43,45,222.74916,"tertiary","yes",
45,43,222.74916,"tertiary","yes",
44,43,15.721928,"tertiary",,
40,220,1642.9476519999998,"tertiary",,
220,40,1642.9476519999998,"tertiary",,
38,44,758.182914,"tertiary",,
43,38,773.9048419999999,"tertiary",,
37,20,6262.345875999999,"tertiary",,
22,21,260.775783,"tertiary",,
21,37,6839.828882999999,"tertiary",,
20,19,289.09452,"tertiary",,
19,22,605.801744,"tertiary",,
18,17,557.066818,"tertiary",,
17,16,199.914732,"tertiary",,
16,18,756.98155,"tertiary",,
15,11,3311.884015,"tertiary",,
11,7,3457.303964,"tertiary",,
7,5,1482.0207599999999,"tertiary",,
5,96,1962.967594,"tertiary",,
96,15,10214.176333,"tertiary",,
4,41,735.307414,"tertiary",,
41,4,735.307414,"tertiary",,
3,39,3031.405498,"tertiary",,
39,3,3031.405498,"tertiary",,
1,0,79.100148,"tertiary",,
0,1,79.100148,"tertiary",,
