Node,Lat,Long
409,139.915886,35.635892
408,139.915697,35.635835
390,139.916198,35.638327
389,139.917329,35.639245
387,139.916481,35.638564
386,139.918184,35.64
385,139.916496,35.638589
371,139.916437,35.632312
370,139.916457,35.632328
369,139.910717,35.64
364,139.911415,35.64
363,139.915132,35.64
362,139.915296,35.64
360,139.914471,35.64
359,139.914896,35.639663
358,139.914735,35.639528
357,139.914599,35.639899
356,139.915039,35.639289
355,139.914122,35.64
354,139.915889,35.64
353,139.91552,35.63969
352,139.912487,35.638447
346,139.911693,35.636038
345,139.916165,35.638299
332,139.913168,35.636258
328,139.911333,35.637489
290,139.913044,35.636148
283,139.913197,35.63576
282,139.913206,35.63629
281,139.913153,35.635724
280,139.919768,35.63735
279,139.919996,35.637183
278,139.92,35.637186
277,139.919986,35.637175
276,139.915069,35.637854
274,139.912803,35.635434
272,139.911343,35.637169
270,139.911713,35.637479
252,139.914847,35.637668
250,139.91,35.634349
235,139.92,35.632668
234,139.92,35.632753
220,139.91782,35.631091
219,139.91,35.634226
211,139.92,35.637103
210,139.91099,35.636436
203,139.911789,35.633065
202,139.91,35.638811
191,139.91,35.637248
190,139.918147,35.63489
171,139.917081,35.636492
170,139.917082,35.636418
164,139.917824,35.634906
160,139.918187,35.634702
159,139.918346,35.634538
157,139.918434,35.63456
155,139.918214,35.634678
153,139.918392,35.634574
152,139.919957,35.637198
151,139.919779,35.637055
132,139.916512,35.63219
131,139.91652,35.632169
130,139.918888,35.634767
126,139.918697,35.634784
121,139.918686,35.634931
120,139.914564,35.637422
118,139.914263,35.637662
117,139.913664,35.63814
109,139.913054,35.638088
107,139.912607,35.637258
106,139.913207,35.636781
105,139.913507,35.636543
104,139.914775,35.630501
103,139.91,35.62569
100,139.91,35.627673
99,139.915751,35.628115
97,139.91,35.632691
96,139.91,35.631347
92,139.910967,35.634984
91,139.911334,35.63529
89,139.911445,35.635789
83,139.910471,35.635968
82,139.910117,35.635672
81,139.91,35.635575
77,139.916142,35.638848
75,139.91594,35.638676
74,139.915819,35.638576
72,139.916373,35.64
70,139.913523,35.64
68,139.913383,35.639385
64,139.913745,35.639187
62,139.914168,35.639051
60,139.914483,35.638832
58,139.916428,35.639956
57,139.915818,35.639451
56,139.915604,35.639275
55,139.915336,35.639055
54,139.915281,35.639007
45,139.918052,35.64
44,139.916213,35.638462
43,139.916334,35.638563
41,139.916384,35.632212
40,139.92,35.633991
39,139.919238,35.6346
38,139.91694,35.63644
37,139.915333,35.637729
22,139.911522,35.637755
21,139.91,35.636495
20,139.912429,35.638548
19,139.9106,35.64
18,139.91,35.63113
17,139.912847,35.628903
16,139.914421,35.62764
15,139.911496,35.64
11,139.91014,35.638869
7,139.911062,35.636463
5,139.912583,35.635253
4,139.913644,35.634405
3,139.915238,35.633129
1,139.918901,35.636196
0,139.919519,35.636699
